appid,name,AR,AU,BR,CA,CN,DE,FR,GB,JP,PL,TR,US,diff_vs_US_AR_%,diff_vs_US_AU_%,diff_vs_US_BR_%,diff_vs_US_CA_%,diff_vs_US_CN_%,diff_vs_US_DE_%,diff_vs_US_FR_%,diff_vs_US_GB_%,diff_vs_US_JP_%,diff_vs_US_PL_%,diff_vs_US_TR_%
1903340,Clair Obscur: Expedition 33,27.99,55.96,159.2,51.99,174.4,39.99,39.99,33.59,5984.0,143.2,27.99,39.99,-30.007501875468872,39.93498374593648,298.09952488122025,30.00750187546887,336.10902725681416,0.0,0.0,-16.00400100025006,14863.740935233809,258.0895223805951,-30.007501875468872
1984270,Digimon Story Time Stranger,55.99,99.95,319.9,93.49,298.0,69.99,69.99,54.99,8910.0,299.0,45.99,69.99,-20.00285755107872,42.80611515930849,357.0652950421489,33.576225175025,325.7751107301043,0.0,0.0,-21.431633090441483,12630.390055722248,327.20388626946703,-34.290612944706375
2062430,BALL x PIT,7.99,21.99,46.99,19.99,58.0,14.99,14.99,12.99,1700.0,63.99,7.99,14.99,-46.6977985323549,46.69779853235489,213.47565043362243,33.35557038025349,286.9246164109406,0.0,0.0,-13.342228152101402,11240.89392928619,326.8845897264843,-46.6977985323549
2300320,Farming Simulator 25,19.49,54.95,143.95,49.99,126.0,29.99,29.99,25.99,3948.0,109.99,19.49,29.99,-35.01167055685229,83.22774258086031,379.99333111037015,66.68889629876628,320.1400466822275,0.0,0.0,-13.337779259753251,13064.388129376459,266.755585195065,-35.01167055685229
252490,Rust,11.39,35.97,71.99,31.19,82.8,23.99,23.99,20.99,2760.0,71.99,11.39,23.99,-52.52188411838266,49.937473947478125,200.08336807002917,30.012505210504393,245.14380992080035,0.0,0.0,-12.505210504376823,11404.79366402668,200.08336807002917,-52.52188411838266
2592160,Dispatch,14.99,43.95,88.99,38.99,108.0,28.99,28.99,24.99,3400.0,117.0,14.99,29.99,-50.01667222407469,46.54884961653886,196.73224408136048,30.01000333444483,260.1200400133378,-3.334444814938313,-3.334444814938313,-16.672224074691563,11237.112370790264,290.1300433477826,-50.01667222407469
2807960,Battlefield™ 6,69.99,109.95,299.0,89.99,268.0,69.99,69.99,59.99,9800.0,299.9,69.99,69.99,0.0,57.09387055293615,327.20388626946703,28.575510787255325,282.9118445492213,0.0,0.0,-14.287755393627652,13902.00028575511,328.48978425489355,0.0
2958130,Jurassic World Evolution 3,31.99,87.95,226.0,77.99,236.0,59.99,59.99,49.99,7000.0,274.99,31.99,59.99,-46.674445740956834,46.60776796132689,276.7294549091515,30.005000833472234,293.3988998166361,0.0,0.0,-16.66944490748458,11568.611435239207,358.39306551091846,-46.674445740956834
2968420,PowerWash Simulator 2,12.49,34.95,74.9,33.49,88.0,24.99,24.99,19.99,2970.0,89.0,12.49,24.99,-50.020008003201276,39.8559423769508,199.71988795518212,34.01360544217689,252.14085634253703,0.0,0.0,-20.008003201280513,11784.753901560625,256.1424569827932,-50.020008003201276
3167020,Escape From Duckov,12.99,27.01,69.07,24.78,58.0,17.99,17.99,17.99,1800.0,64.88,12.99,17.99,-27.793218454697044,50.138966092273506,283.9355197331851,37.743190661478614,222.40133407448587,0.0,0.0,0.0,9905.558643690942,260.644802668149,-27.793218454697044
