platform,appid,country,currency,initial,final,discount_percent,release_date,type,is_free,genres,categories,ts_collected_utc
steam,1004640,MX,MXN,850.0,850.0,0,"30 Sep, 2025",game,False,"RPG,Strategy","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Custom Volume Controls,Adjustable Difficulty,Keyboard Only Option,Playable without Timed Input,Save Anytime,Stereo Sound,Steam Cloud,Remote Play on Phone,Remote Play on Tablet,Family Sharing",2025-11-17T05:02:14Z
steam,518790,FR,EUR,19.5,19.5,0,"16 Feb, 2017",game,False,"Adventure,Simulation,Sports","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,In-App Purchases,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,2623190,CA,CAD,66.99,66.99,0,"22 Apr, 2025",game,False,RPG,"Single-player,Steam Achievements,Steam Trading Cards,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Surround Sound,Partial Controller Support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,1574900,FR,EUR,16.79,13.43,20,"12 Nov, 2025",game,False,"Action,Adventure,Indie,RPG","Single-player,Multi-player,Co-op,Online Co-op,Full controller support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,2787320,TR,USD,14.99,5.99,60,"8 May, 2025",game,False,"Action,Adventure","Single-player,Multi-player,Co-op,Online Co-op,Shared/Split Screen Co-op,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,292030,NO,NOK,319.99,319.99,0,"18 May, 2015",game,False,RPG,"Single-player,Steam Achievements,Steam Trading Cards,Steam Workshop,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Stereo Sound,Surround Sound,Partial Controller Support,Steam Cloud,Remote Play on Tablet,Remote Play on TV,Family Sharing",2025-11-17T05:02:14Z
steam,620980,CN,CNY,108.0,108.0,0,"21 May, 2019",game,False,Indie,"Single-player,Multi-player,PvP,Online PvP,Tracked Controller Support,VR Only,Steam Leaderboards,Family Sharing",2025-11-17T05:02:14Z
steam,2344520,AR,USD,49.99,49.99,0,"17 Oct, 2023",game,False,"Action,RPG","Single-player,Multi-player,PvP,Online PvP,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,In-App Purchases",2025-11-17T05:02:14Z
steam,2670630,MX,MXN,227.99,227.99,0,"19 Jun, 2025",game,False,"Casual,Indie,Simulation","Single-player,Multi-player,Co-op,Online Co-op,Steam Achievements,Full controller support,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,1285190,MX,MXN,1399.0,1399.0,0,"11 Sep, 2025",game,False,"Action,Adventure,RPG","Single-player,Multi-player,Co-op,Online Co-op,Cross-Platform Multiplayer,Steam Achievements,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Save Anytime,Stereo Sound,Subtitle Options,Surround Sound,Partial Controller Support,Family Sharing",2025-11-17T05:02:14Z
steam,3862670,MX,MXN,50.0,40.0,20,"16 Nov, 2025",game,False,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Camera Comfort,Playable without Timed Input,Save Anytime,Stereo Sound,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,1169040,US,USD,14.99,14.99,0,"Oct 16, 2025",game,False,"Action,Adventure,Indie,RPG","Single-player,Multi-player,PvP,Online PvP,LAN PvP,Co-op,Online Co-op,LAN Co-op,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,Steam Cloud,Stats,Family Sharing",2025-11-17T05:02:14Z
steam,1771300,NO,NOK,591.0,591.0,0,"4 Feb, 2025",game,False,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Custom Volume Controls,Playable without Timed Input,Stereo Sound,Surround Sound,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,2627260,NL,EUR,69.99,69.99,0,"20 Oct, 2025",game,False,"Action,Adventure","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Color Alternatives,Custom Volume Controls,Stereo Sound,Surround Sound,Steam Cloud,Family Sharing",2025-11-17T05:02:14Z
steam,427410,TR,USD,17.99,17.99,0,"22 Jul, 2025",game,False,"Action,Adventure,RPG,Simulation","Single-player,Multi-player,Co-op,Online Co-op,LAN Co-op,Cross-Platform Multiplayer,Steam Achievements,Full controller support,Steam Trading Cards,Adjustable Text Size,Camera Comfort,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Save Anytime,Stereo Sound,Subtitle Options,Surround Sound,Family Sharing",2025-11-17T05:02:14Z
steam,3489700,BR,BRL,249.9,249.9,0,"11 Jun, 2025",game,False,"Action,Adventure,RPG","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Adjustable Text Size,Camera Comfort,Color Alternatives,Custom Volume Controls,Adjustable Difficulty,Playable without Timed Input,Stereo Sound,Subtitle Options,Surround Sound,Steam Cloud,Stats,HDR available,Family Sharing",2025-11-17T05:02:14Z
