platform,appid,country,currency,initial,final,discount_percent,release_date
steam,1285190,CA,CAD,89.99,89.99,0,"11 Sep, 2025"
steam,1142710,TR,USD,49.99,12.49,75,"16 Feb, 2022"
steam,1151340,DE,EUR,39.99,9.99,75,"14 Apr, 2020"
steam,311210,BR,BRL,329.9,108.86,67,"5 Nov, 2015"
steam,1004640,GB,GBP,39.99,39.99,0,"30 Sep, 2025"
steam,2215430,FR,EUR,59.99,40.19,33,"16 May, 2024"
steam,2486820,DE,EUR,69.99,69.99,0,"25 Sep, 2025"
steam,2246340,PL,PLN,299.0,209.3,30,"27 Feb, 2025"
steam,281990,US,USD,39.99,9.99,75,"May 9, 2016"
steam,252490,AR,USD,18.99,9.49,50,"8 Feb, 2018"
steam,3314790,FR,EUR,9.99,8.99,10,"26 Sep, 2025"
steam,3472040,JP,JPY,9460.0,9460.0,0,"4 Sep, 2025"
steam,3314790,GB,GBP,8.5,7.65,10,"26 Sep, 2025"
steam,2947440,US,USD,69.99,69.99,0,"Sep 24, 2025"
steam,2215430,BR,BRL,249.9,167.43,33,"16 May, 2024"
steam,2651280,CN,CNY,398.0,318.4,20,"30 Jan, 2025"
steam,3314790,JP,JPY,1200.0,1080.0,10,"26 Sep, 2025"
steam,1091500,CN,CNY,298.0,104.3,65,"9 Dec, 2020"
steam,1004640,TR,USD,39.99,39.99,0,"30 Sep, 2025"
steam,2246340,AU,AUD,104.95,73.46,30,"27 Feb, 2025"
steam,1757300,DE,EUR,19.5,19.5,0,"19 Sep, 2025"
steam,2246340,GB,GBP,59.99,41.99,30,"27 Feb, 2025"
steam,3008130,CA,CAD,79.99,79.99,0,"18 Sep, 2025"
steam,2651280,US,USD,59.99,47.99,20,"Jan 30, 2025"
steam,294100,AU,AUD,44.95,35.96,20,"17 Oct, 2018"
steam,3008130,DE,EUR,59.99,59.99,0,"18 Sep, 2025"
steam,1145350,PL,PLN,117.0,117.0,0,"25 Sep, 2025"
steam,1669000,GB,GBP,41.99,20.99,50,"2 May, 2023"
steam,1004640,CN,CNY,298.0,298.0,0,"30 Sep, 2025"
steam,1030300,CA,CAD,25.99,25.99,0,"4 Sep, 2025"
steam,3405690,TR,USD,69.99,69.99,0,"25 Sep, 2025"
steam,1145350,CA,CAD,38.99,38.99,0,"25 Sep, 2025"
steam,2183900,AR,USD,34.99,17.49,50,"9 Sep, 2024"
steam,3008130,GB,GBP,49.99,49.99,0,"18 Sep, 2025"
steam,2183900,BR,BRL,199.9,99.95,50,"9 Sep, 2024"
steam,2486820,TR,USD,69.99,69.99,0,"25 Sep, 2025"
steam,1145350,TR,USD,14.99,14.99,0,"25 Sep, 2025"
steam,281990,AU,AUD,56.95,14.23,75,"9 May, 2016"
steam,1326470,CA,CAD,38.99,12.86,67,"22 Feb, 2024"
steam,3314790,DE,EUR,9.99,8.99,10,"26 Sep, 2025"
steam,3230400,BR,BRL,299.0,209.3,30,"14 Aug, 2025"
steam,2246340,CN,CNY,348.0,243.6,30,"27 Feb, 2025"
steam,1285190,BR,BRL,379.9,379.9,0,"11 Sep, 2025"
steam,2807960,CN,CNY,268.0,268.0,0,"10 Oct, 2025"
steam,381210,FR,EUR,19.99,7.99,60,"14 Jun, 2016"
steam,2215430,GB,GBP,49.99,33.49,33,"16 May, 2024"
steam,1174180,US,USD,59.99,14.99,75,"Dec 5, 2019"
steam,3489700,AU,AUD,109.95,87.96,20,"11 Jun, 2025"
steam,3164500,CA,CAD,25.99,18.19,30,"24 Mar, 2025"
steam,1757300,AU,AUD,29.5,29.5,0,"19 Sep, 2025"
steam,1174180,AU,AUD,89.95,22.48,75,"5 Dec, 2019"
steam,3008130,FR,EUR,59.99,59.99,0,"18 Sep, 2025"
steam,2138330,US,USD,29.99,20.99,30,"Sep 25, 2023"
steam,252490,FR,EUR,39.99,19.99,50,"8 Feb, 2018"
steam,2215430,JP,JPY,7590.0,5085.0,33,"16 May, 2024"
steam,381210,AR,USD,14.99,5.99,60,"14 Jun, 2016"
steam,275850,CA,CAD,77.99,31.19,60,"12 Aug, 2016"
steam,311210,AR,USD,59.99,19.79,67,"5 Nov, 2015"
steam,990080,JP,JPY,8778.0,1755.0,80,"10 Feb, 2023"
steam,990080,US,USD,59.99,11.99,80,"Feb 10, 2023"
steam,3164500,GB,GBP,16.75,11.72,30,"24 Mar, 2025"
steam,1984270,FR,EUR,69.99,69.99,0,"2 Oct, 2025"
steam,1903340,PL,PLN,179.0,161.1,10,"24 Apr, 2025"
steam,374320,CN,CNY,268.0,134.0,50,"11 Apr, 2016"
steam,275850,US,USD,59.99,23.99,60,"Aug 12, 2016"
steam,3008130,US,USD,59.99,59.99,0,"Sep 18, 2025"
steam,2138330,CN,CNY,149.0,104.3,30,"25 Sep, 2023"
steam,3405340,AR,USD,5.79,4.92,15,"18 Sep, 2025"
steam,1004640,PL,PLN,199.0,199.0,0,"30 Sep, 2025"
steam,252490,AU,AUD,59.95,29.97,50,"8 Feb, 2018"
steam,1151340,TR,USD,23.99,5.99,75,"14 Apr, 2020"
steam,252490,TR,USD,18.99,9.49,50,"8 Feb, 2018"
steam,3405690,AR,USD,69.99,69.99,0,"25 Sep, 2025"
steam,2486820,JP,JPY,7990.0,7990.0,0,"25 Sep, 2025"
steam,1675200,CA,CAD,499.0,399.2,20,"17 Jan, 2025"
steam,3405340,CN,CNY,42.0,35.7,15,"18 Sep, 2025"
steam,1174180,FR,EUR,59.99,14.99,75,"5 Dec, 2019"
steam,3314790,BR,BRL,32.99,29.69,10,"26 Sep, 2025"
steam,1144200,PL,PLN,169.99,84.99,50,"13 Dec, 2023"
steam,1142710,CA,CAD,79.99,19.99,75,"16 Feb, 2022"
steam,2138330,AR,USD,22.49,15.74,30,"25 Sep, 2023"
steam,3527290,BR,BRL,23.99,19.19,20,"16 Jun, 2025"
steam,3489700,CN,CNY,268.0,214.4,20,"11 Jun, 2025"
steam,1145350,AU,AUD,43.95,43.95,0,"25 Sep, 2025"
steam,3527290,CA,CAD,10.49,8.39,20,"16 Jun, 2025"
steam,281990,CN,CNY,168.0,42.0,75,"9 May, 2016"
steam,553850,JP,JPY,4480.0,3584.0,20,"8 Feb, 2024"
steam,3489700,GB,GBP,59.99,47.99,20,"11 Jun, 2025"
steam,1004640,CA,CAD,66.99,66.99,0,"30 Sep, 2025"
steam,1174180,AR,USD,59.99,14.99,75,"5 Dec, 2019"
steam,3472040,TR,USD,69.99,69.99,0,"4 Sep, 2025"
steam,1669000,DE,EUR,49.99,24.99,50,"2 May, 2023"
steam,294100,BR,BRL,101.99,81.59,20,"17 Oct, 2018"
steam,275850,CN,CNY,175.0,70.0,60,"12 Aug, 2016"
steam,2486820,AU,AUD,107.95,107.95,0,"25 Sep, 2025"
steam,281990,PL,PLN,184.99,46.24,75,"9 May, 2016"
steam,3472040,CN,CNY,298.0,298.0,0,"4 Sep, 2025"
steam,374320,AU,AUD,84.95,42.47,50,"11 Apr, 2016"
steam,1151340,BR,BRL,155.0,38.75,75,"14 Apr, 2020"
steam,2807960,GB,GBP,59.99,59.99,0,"10 Oct, 2025"
steam,2138330,PL,PLN,99.99,69.99,30,"25 Sep, 2023"
steam,1086940,AU,AUD,89.95,67.46,25,"3 Aug, 2023"
steam,2183900,DE,EUR,59.99,29.99,50,"9 Sep, 2024"
steam,294100,JP,JPY,3900.0,3120.0,20,"17 Oct, 2018"
steam,1086940,FR,EUR,59.99,44.99,25,"3 Aug, 2023"
steam,1145350,CN,CNY,108.0,108.0,0,"25 Sep, 2025"
steam,2183900,US,USD,59.99,29.99,50,"Sep 9, 2024"
steam,3606480,GB,GBP,69.99,69.99,0,"13 Nov, 2025"
steam,1144200,BR,BRL,131.99,65.99,50,"13 Dec, 2023"
steam,1174180,PL,PLN,249.9,62.47,75,"5 Dec, 2019"
steam,3606480,AU,AUD,109.95,109.95,0,"13 Nov, 2025"
steam,2215430,TR,USD,59.99,40.19,33,"16 May, 2024"
steam,275850,AR,USD,26.99,10.79,60,"12 Aug, 2016"
steam,1984270,DE,EUR,69.99,69.99,0,"2 Oct, 2025"
steam,311210,PL,PLN,258.5,85.3,67,"5 Nov, 2015"
steam,3405340,PL,PLN,36.13,30.71,15,"18 Sep, 2025"
steam,2246340,FR,EUR,69.99,48.99,30,"27 Feb, 2025"
steam,1091500,PL,PLN,199.0,69.65,65,"9 Dec, 2020"
steam,1091500,TR,USD,44.99,15.74,65,"9 Dec, 2020"
steam,252490,DE,EUR,39.99,19.99,50,"8 Feb, 2018"
steam,990080,BR,BRL,249.99,49.99,80,"10 Feb, 2023"
steam,1669000,CN,CNY,198.0,99.0,50,"2 May, 2023"
steam,3008130,CN,CNY,248.0,248.0,0,"18 Sep, 2025"
steam,1086940,JP,JPY,8499.0,6374.0,25,"3 Aug, 2023"
steam,374320,PL,PLN,199.99,99.99,50,"11 Apr, 2016"
steam,3405340,DE,EUR,9.75,8.28,15,"18 Sep, 2025"
steam,281990,DE,EUR,39.99,9.99,75,"9 May, 2016"
steam,553850,DE,EUR,39.99,31.99,20,"8 Feb, 2024"
steam,1086940,TR,USD,34.99,26.24,25,"3 Aug, 2023"
steam,3230400,TR,USD,69.99,48.99,30,"14 Aug, 2025"
steam,1675200,AU,AUD,649.0,519.2,20,"17 Jan, 2025"
steam,1285190,PL,PLN,299.0,299.0,0,"11 Sep, 2025"
steam,1151340,AU,AUD,54.95,13.73,75,"14 Apr, 2020"
steam,2138330,FR,EUR,29.99,20.99,30,"25 Sep, 2023"
steam,2486820,GB,GBP,64.99,64.99,0,"25 Sep, 2025"
steam,2947440,AR,USD,32.99,32.99,0,"24 Sep, 2025"
steam,2183900,TR,USD,39.99,19.99,50,"9 Sep, 2024"
steam,1145350,BR,BRL,88.99,88.99,0,"25 Sep, 2025"
steam,3314790,US,USD,9.99,8.99,10,"Sep 26, 2025"
steam,1030300,CN,CNY,76.0,76.0,0,"4 Sep, 2025"
steam,374320,AR,USD,47.99,23.99,50,"11 Apr, 2016"
steam,990080,FR,EUR,59.99,11.99,80,"10 Feb, 2023"
steam,1984270,AR,USD,55.99,55.99,0,"2 Oct, 2025"
steam,3008130,BR,BRL,249.0,249.0,0,"18 Sep, 2025"
steam,3472040,DE,EUR,69.99,69.99,0,"4 Sep, 2025"
steam,3606480,FR,EUR,79.99,79.99,0,"13 Nov, 2025"
steam,1903340,FR,EUR,49.99,44.99,10,"24 Apr, 2025"
steam,281990,GB,GBP,34.99,8.74,75,"9 May, 2016"
steam,1004640,DE,EUR,49.99,49.99,0,"30 Sep, 2025"
steam,1675200,US,USD,399.0,319.2,20,"Jan 17, 2025"
steam,3405340,GB,GBP,8.5,7.22,15,"18 Sep, 2025"
steam,2183900,CN,CNY,249.0,124.5,50,"9 Sep, 2024"
steam,1004640,BR,BRL,219.9,219.9,0,"30 Sep, 2025"
steam,281990,TR,USD,23.99,5.99,75,"9 May, 2016"
steam,2651280,GB,GBP,49.99,39.99,20,"30 Jan, 2025"
steam,553850,PL,PLN,169.0,135.2,20,"8 Feb, 2024"
steam,2947440,BR,BRL,349.9,349.9,0,"24 Sep, 2025"
steam,281990,FR,EUR,39.99,9.99,75,"9 May, 2016"
steam,252490,CN,CNY,138.0,69.0,50,"8 Feb, 2018"
steam,3008130,AU,AUD,89.95,89.95,0,"18 Sep, 2025"
steam,1145350,FR,EUR,28.99,28.99,0,"25 Sep, 2025"
steam,2651280,DE,EUR,59.99,47.99,20,"30 Jan, 2025"
steam,2651280,PL,PLN,259.0,207.2,20,"30 Jan, 2025"
steam,1142710,FR,EUR,59.99,14.99,75,"16 Feb, 2022"
steam,1675200,TR,USD,399.0,319.2,20,"17 Jan, 2025"
steam,2807960,CA,CAD,89.99,89.99,0,"10 Oct, 2025"
steam,281990,BR,BRL,143.99,35.99,75,"9 May, 2016"
steam,1675200,AR,USD,399.0,319.2,20,"17 Jan, 2025"
steam,294100,US,USD,34.99,27.99,20,"Oct 17, 2018"
steam,3527290,US,USD,7.99,6.39,20,"Jun 16, 2025"
steam,2651280,JP,JPY,7590.0,6072.0,20,"30 Jan, 2025"
steam,2246340,TR,USD,52.49,36.74,30,"27 Feb, 2025"
steam,2215430,CN,CNY,398.0,266.66,33,"16 May, 2024"
steam,2947440,DE,EUR,79.99,79.99,0,"24 Sep, 2025"
steam,1326470,JP,JPY,3400.0,1122.0,67,"22 Feb, 2024"
steam,2138330,JP,JPY,4309.0,3016.0,30,"25 Sep, 2023"
steam,1757300,US,USD,19.99,19.99,0,"Sep 19, 2025"
steam,2138330,AU,AUD,44.95,31.46,30,"25 Sep, 2023"
steam,1086940,GB,GBP,49.99,37.49,25,"3 Aug, 2023"
steam,311210,FR,EUR,59.99,19.79,67,"5 Nov, 2015"
steam,275850,AU,AUD,87.95,35.18,60,"12 Aug, 2016"
steam,3405340,US,USD,9.99,8.49,15,"Sep 18, 2025"
steam,3405690,DE,EUR,69.99,69.99,0,"25 Sep, 2025"
steam,3164500,US,USD,19.99,13.99,30,"Mar 24, 2025"
steam,3405690,PL,PLN,299.9,299.9,0,"25 Sep, 2025"
steam,1757300,BR,BRL,57.99,57.99,0,"19 Sep, 2025"
steam,1757300,CN,CNY,69.0,69.0,0,"19 Sep, 2025"
steam,294100,TR,USD,17.99,14.39,20,"17 Oct, 2018"
steam,3405690,CA,CAD,89.99,89.99,0,"25 Sep, 2025"
steam,1174180,CA,CAD,79.99,19.99,75,"5 Dec, 2019"
steam,3314790,CN,CNY,42.0,37.8,10,"26 Sep, 2025"
steam,311210,AU,AUD,95.95,31.66,67,"5 Nov, 2015"
steam,1144200,US,USD,49.99,24.99,50,"Dec 13, 2023"
steam,1030300,JP,JPY,2300.0,2300.0,0,"4 Sep, 2025"
steam,3527290,FR,EUR,7.49,5.99,20,"16 Jun, 2025"
steam,252490,JP,JPY,4600.0,2300.0,50,"8 Feb, 2018"
steam,1326470,US,USD,29.99,9.89,67,"Feb 22, 2024"
steam,381210,JP,JPY,1980.0,792.0,60,"14 Jun, 2016"
steam,1326470,PL,PLN,138.99,45.86,67,"22 Feb, 2024"
steam,1142710,CN,CNY,298.0,74.5,75,"16 Feb, 2022"
steam,3405340,FR,EUR,9.75,8.28,15,"18 Sep, 2025"
steam,1144200,AR,USD,32.99,16.49,50,"13 Dec, 2023"
steam,3314790,PL,PLN,35.99,32.39,10,"26 Sep, 2025"
steam,1151340,FR,EUR,39.99,9.99,75,"14 Apr, 2020"
